id_passageiro,modulo_estacao,classe_bilhete,nome_tripulante,idade,parentes_a_bordo,horas_treinamento,traje_pressurizado,tarifa_creditos,resgatado
1001,Laboratorio,1,Cap. Tripulante_0,44.7,2,114.9,Nao,163.47,0
1002,Engenharia,3,Ten. Tripulante_1,39.4,1,120.9,Nao,63.89,0
1003,Habitacao,3,Passag. Tripulante_2,40.2,2,143.5,Nao,64.72,0
1004,Habitacao,3,Ten. Tripulante_3,15.6,1,36.7,Sim,83.53,1
1005,Laboratorio,3,Cap. Tripulante_4,46.5,0,56.5,Nao,37.79,0
1006,Laboratorio,3,Passag. Tripulante_5,,1,75.4,Sim,73.96,1
1007,Comando,3,Eng. Tripulante_6,27.6,1,7.0,Nao,70.34,0
1008,Engenharia,3,Passag. Tripulante_7,33.7,2,45.9,Sim,53.19,1
1009,Habitacao,2,Dra. Tripulante_8,10.7,2,1.7,Nao,123.1,0
1010,Habitacao,2,Eng. Tripulante_9,36.9,1,34.4,Sim,124.76,1
1011,Comando,2,Dra. Tripulante_10,19.6,0,8.4,Nao,125.9,1
1012,Engenharia,3,Dra. Tripulante_11,15.8,0,10.1,Nao,43.48,1
1013,Engenharia,3,Passag. Tripulante_12,13.7,0,22.7,Nao,83.66,0
1014,Laboratorio,1,Ten. Tripulante_13,45.4,0,28.3,Nao,162.62,0
1015,Laboratorio,3,Passag. Tripulante_14,24.4,1,48.8,Nao,76.87,0
1016,Laboratorio,3,Eng. Tripulante_15,50.4,0,3.9,Nao,77.41,0
1017,Laboratorio,1,Eng. Tripulante_16,25.6,0,35.0,Nao,161.23,0
1018,Habitacao,3,Passag. Tripulante_17,11.5,0,10.1,Sim,76.6,0
1019,Laboratorio,3,Dra. Tripulante_18,18.6,1,42.7,Nao,66.15,0
1020,Laboratorio,1,Passag. Tripulante_19,46.8,2,50.7,Nao,149.29,0
1021,Habitacao,3,Passag. Tripulante_20,30.1,1,40.7,Sim,81.68,1
1022,Comando,2,Passag. Tripulante_21,,2,67.0,Nao,112.25,0
1023,Laboratorio,3,Passag. Tripulante_22,33.9,0,20.4,Sim,61.46,1
1024,Laboratorio,3,Dra. Tripulante_23,38.0,1,72.4,Sim,65.97,1
1025,Habitacao,3,Eng. Tripulante_24,45.4,0,28.3,Sim,72.72,1
1026,Habitacao,2,Cap. Tripulante_25,49.4,0,33.1,Sim,119.43,1
1027,Laboratorio,3,Passag. Tripulante_26,27.7,0,52.2,Nao,75.48,0
1028,Habitacao,3,Passag. Tripulante_27,16.1,1,0.9,Nao,56.61,0
1029,Habitacao,2,Cap. Tripulante_28,27.0,1,53.1,Nao,112.58,0
1030,Comando,3,Passag. Tripulante_29,35.1,0,48.2,Nao,68.84,1
1031,Habitacao,1,Ten. Tripulante_30,20.4,0,18.5,Sim,188.98,1
1032,Laboratorio,3,Passag. Tripulante_31,20.5,1,4.5,Nao,68.86,0
1033,Comando,2,Eng. Tripulante_32,36.1,2,4.8,Nao,130.85,0
1034,Engenharia,1,Passag. Tripulante_33,31.4,1,128.3,Nao,170.39,1
1035,Engenharia,1,Passag. Tripulante_34,32.4,0,58.4,Nao,165.16,0
1036,Engenharia,3,Eng. Tripulante_35,22.9,2,6.8,Nao,67.53,0
1037,Laboratorio,2,Ten. Tripulante_36,29.2,3,22.1,Nao,118.32,0
1038,Comando,3,Ten. Tripulante_37,,1,44.9,Nao,76.04,0
1039,Habitacao,1,Ten. Tripulante_38,42.7,1,90.3,Sim,183.75,1
1040,Laboratorio,2,Cap. Tripulante_39,44.4,1,2.2,Sim,123.6,1
1041,Comando,3,Passag. Tripulante_40,9.8,0,13.5,Nao,81.87,1
1042,Habitacao,3,Passag. Tripulante_41,20.8,0,110.2,Nao,60.35,1
1043,Comando,2,Passag. Tripulante_42,14.0,1,0.5,Nao,115.85,1
1044,Engenharia,3,Ten. Tripulante_43,24.2,1,11.2,Nao,62.76,0
1045,Laboratorio,3,Passag. Tripulante_44,31.0,0,159.7,Sim,73.14,0
1046,Habitacao,3,Passag. Tripulante_45,,0,47.5,Sim,66.41,1
1047,Laboratorio,2,Dra. Tripulante_46,20.9,1,15.2,Nao,127.3,0
1048,Habitacao,1,Passag. Tripulante_47,20.0,0,3.5,Nao,160.69,0
1049,Habitacao,3,Passag. Tripulante_48,34.5,0,1.4,Sim,70.43,1
1050,Laboratorio,1,Dra. Tripulante_49,32.8,0,14.0,Nao,176.87,0
1051,Engenharia,3,Eng. Tripulante_50,23.3,2,106.6,Nao,49.35,0
1052,Habitacao,3,Eng. Tripulante_51,34.1,2,26.9,Nao,91.22,0
1053,Engenharia,3,Ten. Tripulante_52,25.4,2,63.7,Nao,67.17,0
1054,Engenharia,3,Passag. Tripulante_53,28.7,0,125.2,Sim,49.75,1
1055,Habitacao,3,Passag. Tripulante_54,,2,26.2,Nao,71.58,0
1056,Engenharia,2,Passag. Tripulante_55,48.1,0,10.6,Nao,120.33,0
1057,Comando,3,Eng. Tripulante_56,16.4,1,36.4,Nao,69.18,1
1058,Laboratorio,2,Eng. Tripulante_57,42.0,2,119.3,Sim,129.91,1
1059,Comando,2,Passag. Tripulante_58,41.7,1,81.6,Nao,127.47,1
1060,Laboratorio,3,Passag. Tripulante_59,,0,3.4,Sim,72.98,1
1061,Laboratorio,3,Dra. Tripulante_60,41.8,0,59.0,Sim,74.5,1
1062,Laboratorio,3,Passag. Tripulante_61,50.5,2,42.4,Nao,68.96,0
1063,Engenharia,3,Passag. Tripulante_62,18.5,1,119.0,Sim,87.75,1
1064,Laboratorio,2,Eng. Tripulante_63,21.0,1,6.5,Nao,105.21,0
1065,Laboratorio,2,Dra. Tripulante_64,44.2,2,38.2,Sim,121.4,0
1066,Habitacao,3,Passag. Tripulante_65,35.3,0,105.8,Nao,70.65,1
1067,Comando,2,Ten. Tripulante_66,38.6,1,26.4,Sim,128.13,1
1068,Engenharia,1,Cap. Tripulante_67,36.1,0,32.9,Sim,161.56,1
1069,Comando,2,Ten. Tripulante_68,36.7,0,3.7,Sim,102.56,1
1070,Engenharia,2,Eng. Tripulante_69,16.1,0,16.3,Nao,121.57,0
1071,Habitacao,2,Passag. Tripulante_70,44.6,1,19.6,Nao,122.81,0
1072,Laboratorio,2,Passag. Tripulante_71,,2,145.1,Sim,134.9,1
1073,Comando,1,Ten. Tripulante_72,29.2,1,16.6,Nao,157.3,1
1074,Engenharia,1,Passag. Tripulante_73,31.5,0,30.9,Nao,181.55,1
1075,Habitacao,3,Passag. Tripulante_74,13.6,1,55.6,Nao,93.67,0
1076,Habitacao,2,Passag. Tripulante_75,38.2,0,8.8,Sim,116.22,1
1077,Habitacao,2,Ten. Tripulante_76,38.9,1,33.3,Nao,107.09,0
1078,Comando,3,Eng. Tripulante_77,31.3,0,67.1,Sim,65.93,1
1079,Laboratorio,2,Passag. Tripulante_78,45.5,3,100.8,Sim,120.14,1
1080,Comando,3,Passag. Tripulante_79,28.0,2,49.2,Nao,75.64,1
1081,Engenharia,3,Dra. Tripulante_80,,1,55.3,Nao,64.09,0
1082,Habitacao,1,Dra. Tripulante_81,19.8,0,6.7,Sim,185.55,1
1083,Laboratorio,2,Eng. Tripulante_82,,1,145.7,Sim,108.85,1
1084,Comando,3,Passag. Tripulante_83,29.9,1,7.1,Nao,52.61,0
1085,Laboratorio,3,Passag. Tripulante_84,34.7,2,74.5,Nao,81.07,0
1086,Laboratorio,2,Eng. Tripulante_85,27.6,0,15.4,Sim,97.25,1
1087,Habitacao,3,Ten. Tripulante_86,30.4,2,135.6,Nao,67.96,0
1088,Habitacao,1,Passag. Tripulante_87,41.9,0,63.6,Sim,201.18,1
1089,Engenharia,3,Passag. Tripulante_88,26.8,1,70.1,Sim,69.88,1
1090,Habitacao,2,Eng. Tripulante_89,,0,12.4,Nao,108.79,0
1091,Comando,3,Passag. Tripulante_90,53.0,1,29.3,Sim,69.43,1
1092,Habitacao,3,Passag. Tripulante_91,48.6,0,48.1,Sim,69.49,1
1093,Habitacao,3,Ten. Tripulante_92,16.5,0,73.5,Nao,71.61,0
1094,Habitacao,3,Passag. Tripulante_93,40.3,0,5.5,Nao,76.62,0
1095,Habitacao,2,Cap. Tripulante_94,26.0,0,164.0,Sim,109.61,1
1096,Habitacao,1,Passag. Tripulante_95,,1,110.5,Nao,186.88,0
1097,Habitacao,2,Passag. Tripulante_96,35.5,0,15.8,Nao,122.45,0
1098,Laboratorio,1,Passag. Tripulante_97,29.2,0,86.5,Sim,177.27,1
1099,Comando,3,Passag. Tripulante_98,22.6,1,36.5,Nao,63.72,1
1100,Comando,2,Eng. Tripulante_99,23.7,0,31.0,Sim,132.86,1
1101,Comando,1,Passag. Tripulante_100,21.0,2,18.9,Nao,167.43,1
1102,Habitacao,3,Passag. Tripulante_101,22.0,2,43.5,Nao,72.78,0
1103,Laboratorio,3,Ten. Tripulante_102,31.2,0,65.4,Nao,60.67,1
1104,Habitacao,3,Passag. Tripulante_103,23.4,1,26.5,Sim,60.03,0
1105,Engenharia,3,Passag. Tripulante_104,40.2,1,49.6,Nao,76.88,0
1106,Laboratorio,1,Eng. Tripulante_105,49.8,0,60.1,Nao,165.56,0
1107,Laboratorio,2,Passag. Tripulante_106,25.0,1,62.1,Sim,111.46,1
1108,Habitacao,3,Passag. Tripulante_107,34.9,1,2.7,Sim,63.57,1
1109,Laboratorio,3,Cap. Tripulante_108,38.0,0,98.2,Sim,76.99,1
1110,Comando,1,Passag. Tripulante_109,37.7,0,30.6,Nao,163.71,1
1111,Laboratorio,3,Ten. Tripulante_110,32.9,1,15.2,Nao,68.82,0
1112,Laboratorio,2,Ten. Tripulante_111,40.9,0,13.8,Sim,120.15,0
1113,Engenharia,2,Ten. Tripulante_112,37.8,0,33.0,Nao,100.83,1
1114,Engenharia,3,Passag. Tripulante_113,17.1,1,108.9,Nao,55.29,0
1115,Habitacao,3,Passag. Tripulante_114,,0,23.8,Nao,73.36,0
1116,Engenharia,3,Ten. Tripulante_115,42.6,0,69.3,Sim,62.63,0
1117,Engenharia,1,Eng. Tripulante_116,22.8,0,5.1,Nao,180.57,0
1118,Laboratorio,3,Passag. Tripulante_117,32.5,0,32.3,Sim,79.67,0
1119,Engenharia,2,Dra. Tripulante_118,40.2,0,239.5,Sim,127.19,1
1120,Habitacao,1,Passag. Tripulante_119,29.5,1,73.6,Nao,188.2,1
1121,Engenharia,3,Passag. Tripulante_120,,0,11.8,Sim,69.17,1
1122,Engenharia,3,Passag. Tripulante_121,60.4,0,34.8,Sim,76.49,1
1123,Laboratorio,3,Passag. Tripulante_122,22.6,3,13.3,Sim,64.16,1
1124,Comando,3,Eng. Tripulante_123,15.4,0,26.3,Sim,94.52,1
1125,Laboratorio,3,Passag. Tripulante_124,35.6,0,75.7,Sim,89.84,1
1126,Laboratorio,3,Passag. Tripulante_125,40.7,0,73.8,Nao,70.12,1
1127,Engenharia,1,Passag. Tripulante_126,,1,12.9,Sim,173.87,1
1128,Engenharia,2,Ten. Tripulante_127,49.4,2,127.7,Sim,133.59,1
1129,Comando,2,Passag. Tripulante_128,15.9,1,44.9,Sim,118.53,1
1130,Habitacao,2,Eng. Tripulante_129,40.3,0,23.9,Nao,113.43,0
1131,Laboratorio,3,Ten. Tripulante_130,24.7,1,34.9,Nao,78.74,0
1132,Laboratorio,2,Dra. Tripulante_131,52.6,0,46.5,Sim,120.78,0
1133,Comando,1,Passag. Tripulante_132,55.9,0,41.0,Nao,171.83,1
1134,Laboratorio,2,Passag. Tripulante_133,22.8,2,33.3,Sim,111.66,1
1135,Engenharia,3,Passag. Tripulante_134,,1,35.2,Sim,52.82,0
1136,Laboratorio,1,Passag. Tripulante_135,,0,9.7,Sim,172.36,1
1137,Habitacao,3,Dra. Tripulante_136,27.4,3,83.8,Sim,79.05,1
1138,Habitacao,2,Passag. Tripulante_137,31.5,1,39.0,Sim,117.74,1
1139,Laboratorio,2,Ten. Tripulante_138,32.3,1,7.0,Nao,134.36,0
1140,Engenharia,3,Passag. Tripulante_139,9.0,1,72.7,Sim,62.96,1
1141,Engenharia,3,Passag. Tripulante_140,31.8,0,134.7,Nao,59.45,1
1142,Laboratorio,2,Passag. Tripulante_141,,1,147.2,Sim,119.33,1
1143,Habitacao,3,Passag. Tripulante_142,,2,23.0,Sim,69.17,0
1144,Laboratorio,3,Eng. Tripulante_143,,1,7.3,Nao,77.7,0
1145,Laboratorio,2,Eng. Tripulante_144,16.9,0,36.5,Nao,112.25,0
1146,Comando,3,Passag. Tripulante_145,41.8,0,6.0,Sim,83.68,1
1147,Habitacao,3,Eng. Tripulante_146,28.7,1,135.9,Nao,89.67,1
1148,Habitacao,3,Eng. Tripulante_147,,0,10.1,Sim,69.61,0
1149,Comando,3,Eng. Tripulante_148,41.5,1,14.6,Sim,82.5,1
1150,Laboratorio,3,Passag. Tripulante_149,36.1,0,26.1,Sim,59.44,1
1151,Engenharia,3,Eng. Tripulante_150,38.8,1,24.2,Sim,80.75,1
1152,Laboratorio,3,Ten. Tripulante_151,,3,79.2,Sim,80.47,1
1153,Comando,3,Passag. Tripulante_152,28.0,3,30.5,Sim,78.63,1
1154,Habitacao,3,Passag. Tripulante_153,24.7,2,9.4,Nao,69.84,0
1155,Engenharia,3,Ten. Tripulante_154,19.0,1,15.5,Sim,40.46,1
1156,Laboratorio,3,Ten. Tripulante_155,22.1,1,35.6,Nao,63.58,1
1157,Habitacao,1,Ten. Tripulante_156,67.4,1,8.0,Sim,163.74,1
1158,Habitacao,3,Eng. Tripulante_157,46.9,0,47.3,Nao,60.22,1
1159,Laboratorio,3,Eng. Tripulante_158,15.8,0,41.7,Nao,71.22,0
1160,Habitacao,1,Passag. Tripulante_159,16.1,1,62.7,Sim,165.81,1
1161,Laboratorio,3,Passag. Tripulante_160,37.8,2,138.8,Sim,61.75,1
1162,Habitacao,1,Passag. Tripulante_161,38.6,0,121.7,Nao,159.41,1
1163,Habitacao,2,Eng. Tripulante_162,38.6,0,146.0,Nao,112.84,0
1164,Habitacao,3,Passag. Tripulante_163,28.9,2,14.0,Sim,81.21,1
1165,Comando,1,Eng. Tripulante_164,,0,7.1,Sim,163.39,1
1166,Engenharia,3,Passag. Tripulante_165,,3,18.0,Nao,64.85,0
1167,Laboratorio,3,Passag. Tripulante_166,33.0,0,112.7,Sim,65.43,1
1168,Laboratorio,3,Ten. Tripulante_167,5.4,0,178.9,Nao,73.39,1
1169,Comando,1,Passag. Tripulante_168,29.2,0,98.1,Sim,174.56,1
1170,Habitacao,2,Eng. Tripulante_169,21.8,0,5.8,Sim,89.55,1
